field_name,day_of_week,sport,total_games,num_teams,total_points_allowed,url
North - Havins,Monday,Kickball,61.0,17,702,https://austinssc.leaguelab.com/league/41652/standings
North - Havins,Sunday,Kickball,21.0,6,186,https://austinssc.leaguelab.com/league/41653/standings
North-Balcones,Monday,Kickball,0.0,31,0,https://austinssc.leaguelab.com/league/41751/standings
Central - East,Monday,Kickball,28.0,8,304,https://austinssc.leaguelab.com/league/42206/standings
East - Krieg,Wednesday,Kickball,28.0,8,290,https://austinssc.leaguelab.com/league/42207/standings
Central-South Gillis,Monday,Kickball,0.0,0,0,https://austinssc.leaguelab.com/league/42230/standings
Central-South Gillis,Tuesday,Kickball,0.0,0,0,https://austinssc.leaguelab.com/league/42231/standings
Central-South Gillis,Wednesday,Kickball,39.0,11,347,https://austinssc.leaguelab.com/league/42232/standings
North-Balcones,Monday,Kickball,0.0,0,0,https://austinssc.leaguelab.com/league/42288/standings
Central-South Gillis,Monday,Kickball,0.0,0,0,https://austinssc.leaguelab.com/league/42731/standings
Central-South Gillis,Tuesday,Kickball,32.0,9,295,https://austinssc.leaguelab.com/league/42732/standings
Central-South Gillis,Wednesday,Kickball,36.0,10,462,https://austinssc.leaguelab.com/league/42734/standings
Central-South Gillis,Thursday,Kickball,39.0,11,422,https://austinssc.leaguelab.com/league/42735/standings
East - Krieg,Wednesday,Kickball,57.0,17,702,https://austinssc.leaguelab.com/league/43448/standings
Central - East,Monday,Kickball,28.0,8,349,https://austinssc.leaguelab.com/league/43456/standings
North - Havins,Sunday,Kickball,14.0,4,170,https://austinssc.leaguelab.com/league/43693/standings
North - Havins,Monday,Kickball,50.0,14,604,https://austinssc.leaguelab.com/league/43695/standings
Cedar Park,Thursday,Kickball,29.0,8,354,https://austinssc.leaguelab.com/league/43968/standings
Central-South Gillis,Tuesday,Kickball,30.0,10,412,https://austinssc.leaguelab.com/league/44388/standings
Central-South Gillis,Wednesday,Kickball,30.0,12,332,https://austinssc.leaguelab.com/league/44389/standings
Central-South Gillis,Thursday,Kickball,27.0,12,312,https://austinssc.leaguelab.com/league/44390/standings
East - Krieg,Wednesday,Kickball,24.0,16,340,https://austinssc.leaguelab.com/league/44391/standings
North - Havins,Monday,Kickball,19.0,11,234,https://austinssc.leaguelab.com/league/44524/standings
North - Havins,Sunday,Kickball,9.0,5,118,https://austinssc.leaguelab.com/league/44525/standings
Central - East,Monday,Kickball,8.0,8,159,https://austinssc.leaguelab.com/league/44526/standings
Central - Martin MS,Thursday,Kickball,6.0,12,60,https://austinssc.leaguelab.com/league/44778/standings
